from_label,from_key,to_label,to_key,properties
Table,ACCOUNTS,Column,ACCOUNTS.CUSTOMER_ID,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.ACCOUNT_NUMBER,
Table,LOAN_MASTER,Column,LOAN_MASTER.CUSTOMER_ID,
Table,LOAN_RATE_RESET_HISTORY,Column,LOAN_RATE_RESET_HISTORY.LOAN_ACCOUNT_NUMBER,
Table,LOAN_AMORTIZATION_SCHEDULE,Column,LOAN_AMORTIZATION_SCHEDULE.LOAN_ACCOUNT_NUMBER,
Table,INTEREST_ACCRUAL_LEDGER,Column,INTEREST_ACCRUAL_LEDGER.ACCOUNT_NUMBER,
Table,LOAN_REPAYMENT_TRACKER,Column,LOAN_REPAYMENT_TRACKER.LOAN_ACCOUNT_NUMBER,
