from_label,from_key,to_label,to_key,properties
File,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,
File,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,
File,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,
File,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87,Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,
File,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB,Object,PROC-.SP_TRANSFER_FUNDS,
