from_label,from_key,to_label,to_key,properties
Column,ACCOUNTS.ACCOUNT_STATUS,State,ACCOUNTS.ACCOUNT_STATUS=ACTIVE,
Column,ACCOUNTS.ACCOUNT_STATUS,State,ACCOUNTS.ACCOUNT_STATUS=DORMANT,
Column,ACCOUNTS.ACCOUNT_STATUS,State,ACCOUNTS.ACCOUNT_STATUS=CLOSED,
